Feature Name,Mean Absolute SHAP Value
Glucose,0.13428049970568512
BMI,0.07565494440534203
Age,0.05461908667706718
DiabetesPedigreeFunction,0.041003199239184135
Insulin,0.034657218553302685
Pregnancies,0.0275203169576297
SkinThickness,0.02034678849088203
BloodPressure,0.014402682176583121
