Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_Avg_Accuracy
Logistic Regression,0.7012987012987013,0.5869565217391305,0.5,0.54,0.8127777777777777,0.7721670486376369
Decision Tree,0.6818181818181818,0.5531914893617021,0.48148148148148145,0.5148514851485149,0.6357407407407407,0.7097784568372804
Random Forest,0.7792207792207793,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.8190740740740741,0.7643833290892115
SVM,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.812962962962963,0.7656480774127832
KNN,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155,0.7918518518518518,0.7578643578643579
ANN,0.7402597402597403,0.6458333333333334,0.5740740740740741,0.6078431372549019,0.8203703703703704,
